player_name,fa_year,age_at_fa,team,annual_avg_salary,games_3yr_avg,ab_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_seasons_valid,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,active_seasons,war_last_year,ops_last_year,wrc_plus_last_year,position,mvp_count,golden_glove_count,national_team,star_score,age_squared,prime_years_left,market_level,star_x_war,star_x_ops,war_sum_sq,position_enc,player_id,seasons_used
유한준,2016,35,KT,15.0,119.33333333333333,407.6666666666667,16.666666666666668,82.33333333333333,70.33333333333333,132.33333333333334,28.666666666666668,0.3333333333333333,50.0,3.0,57.333333333333336,3.0,1.829,0.0,0.0,0,0.32461161079313167,0.3972232215862633,0.5193892068683564,0.9166124284546197,0.19455192150449704,0.3407939493049877,0.3991120196238757,0.0,3,0.0,1.009,0.0,OF,0,1,0,3,1225,0,7.0,0.0,2.749837285363859,0.0,5,74339,"2013,2014,2015"
오재원,2016,31,두산,9.5,114.33333333333333,359.3333333333333,7.666666666666667,47.666666666666664,58.0,103.0,18.333333333333332,5.0,48.666666666666664,4.0,72.33333333333333,32.333333333333336,0.12100000000000001,0.0,0.0,0,0.2866419294990723,0.3751280148423005,0.42927551020408167,0.8044035250463821,0.1423348794063079,0.33703617810760667,0.3599452690166976,0.0,3,0.0,0.774,0.0,2B,0,0,2,4,961,4,7.0,0.0,3.2176141001855285,0.0,2,77248,"2013,2014,2015"
이범호,2016,35,KIA,9.0,121.66666666666667,407.6666666666667,23.666666666666668,78.0,54.333333333333336,106.66666666666667,21.666666666666668,0.0,53.333333333333336,12.0,86.33333333333333,1.6666666666666667,1.2203333333333333,0.0,0.0,0,0.2616516762060507,0.3607228127555192,0.4888184791496321,0.8495412919051513,0.22694766966475877,0.27610302534750614,0.36887489779231397,0.0,3,0.0,0.891,0.0,3B,0,2,0,6,1225,0,7.0,0.0,5.097247751430908,0.0,3,70756,"2013,2014,2015"
이택근,2016,36,넥센,8.75,116.66666666666667,421.6666666666667,13.333333333333334,67.0,73.66666666666667,128.33333333333334,26.333333333333332,1.0,44.666666666666664,7.666666666666667,51.333333333333336,17.0,1.2990000000000002,0.0,0.0,0,0.3043478260869565,0.3749288537549407,0.4663833992094862,0.8413122529644269,0.1620616600790514,0.31680632411067194,0.3704553359683795,0.0,3,0.0,0.866,0.0,OF,0,2,0,6,1296,0,7.0,0.0,5.047873517786561,0.0,5,73342,"2013,2014,2015"
정상호,2016,34,LG,8.0,98.33333333333333,238.33333333333334,9.0,38.0,32.0,61.666666666666664,11.666666666666666,0.6666666666666666,20.0,8.0,64.66666666666667,0.6666666666666666,-0.10866666666666668,0.0,0.0,0,0.2587412587412587,0.33489930069930074,0.42657062937062934,0.7614699300699301,0.1679902097902098,0.3166405594405594,0.32881398601398604,0.0,3,0.0,0.772,0.0,C,0,0,0,0,1156,1,7.0,0.0,0.0,0.0,0,71842,"2013,2014,2015"
박정권,2016,35,SK,7.5,118.0,417.6666666666667,22.0,83.0,67.66666666666667,123.0,25.333333333333332,1.0,50.333333333333336,2.3333333333333335,101.33333333333333,4.666666666666667,0.5776666666666667,0.0,0.0,0,0.2944932162809258,0.36992817238627296,0.5178619313647247,0.8877901037509974,0.22321388667198716,0.33897206703910615,0.3819784517158819,0.0,3,0.0,0.83,0.0,1B,0,0,0,0,1225,0,7.0,0.0,0.0,0.0,1,74846,"2013,2014,2015"
조인성,2016,41,한화,5.0,89.66666666666667,215.66666666666666,8.333333333333334,35.666666666666664,21.666666666666668,48.333333333333336,9.333333333333334,0.0,12.333333333333334,3.3333333333333335,64.66666666666667,0.0,0.06966666666666665,0.0,0.0,0,0.22411128284389487,0.2744296754250386,0.38298918083462136,0.65741885625966,0.15858887171561054,0.2779412673879444,0.2918825347758887,0.0,3,0.0,0.679,0.0,C,0,1,0,3,1681,0,7.0,0.0,1.9722565687789801,0.0,0,98144,"2013,2014,2015"
김상현,2016,36,KT,4.25,96.33333333333333,292.3333333333333,13.0,48.333333333333336,39.333333333333336,76.66666666666667,13.333333333333334,0.3333333333333333,28.0,4.333333333333333,73.66666666666667,4.333333333333333,0.05499999999999999,0.0,0.0,0,0.26230330672748003,0.3316282782212086,0.44378905359179016,0.7754173318129988,0.18149486887115157,0.3044732041049031,0.3389144811858608,0.0,3,0.0,0.847,0.0,OF,1,1,0,8,1296,0,7.0,0.0,6.20333865450399,0.0,5,70646,"2013,2014,2015"
박재상,2016,34,SK,2.75,83.0,191.66666666666666,5.333333333333333,26.333333333333332,26.666666666666668,47.666666666666664,7.666666666666667,1.6666666666666667,22.0,2.6666666666666665,38.666666666666664,6.666666666666667,-0.26699999999999996,0.0,0.0,0,0.24869565217391304,0.3322869565217391,0.3898017391304348,0.7220886956521739,0.14132173913043478,0.2841773913043478,0.3223947826086957,0.0,3,0.0,0.735,0.0,OF,0,0,0,0,1156,1,7.0,0.0,0.0,0.0,5,71857,"2013,2014,2015"
고영민,2016,32,두산,2.5,34.333333333333336,58.333333333333336,1.6666666666666667,6.333333333333333,11.333333333333334,17.666666666666668,1.3333333333333333,0.0,6.666666666666667,1.0,15.0,2.0,-0.20066666666666666,0.0,0.0,0,0.3028571428571429,0.37793714285714286,0.41131428571428563,0.7892514285714286,0.10869714285714281,0.3807771428571428,0.36333714285714286,0.0,3,0.0,0.881,0.0,2B,0,1,0,3,1024,3,7.0,0.0,2.3677542857142857,0.0,2,72214,"2013,2014,2015"
