collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2014,99445,권오준,삼성,,False,1.0,1,18.0,3.0,0,0,0,0,0,0,0,0,3,0,2,2,0.0,0.0,99.99,0.0,0.0,-0.203,0.02,1.0,RP,1.0
2015,99445,권오준,삼성,,False,28.0,30,8.03571,1.5,0,0,0,0,0,24,9,5,33,5,27,25,7.71,2.89,2.67,18.3,6.9,-0.091,-0.4,0.933,RP,1.0
2016,99445,권오준,삼성,,False,46.333,41,3.88489,1.27,1,3,0,7,0,35,11,3,48,9,20,20,6.8,2.14,3.18,18.0,5.7,-0.563,0.44,1.13,RP,1.0
2017,99445,권오준,삼성,,False,56.0,45,5.14286,1.27,1,2,0,1,0,55,14,4,57,11,32,32,8.84,2.25,3.93,23.6,6.0,0.427,0.42,1.244,RP,1.0
2018,99445,권오준,삼성,,False,43.333,47,3.94615,1.27,3,1,1,2,0,52,12,3,43,7,21,19,10.8,2.49,4.33,27.5,6.3,0.145,0.71,0.922,RP,1.0
2019,99445,권오준,삼성,,False,43.0,43,5.23256,1.42,3,0,0,3,0,26,12,2,49,7,25,25,5.44,2.51,2.17,13.9,6.4,0.021,0.01,1.0,RP,1.0
2020,99445,권오준,삼성,,False,16.0,17,8.4375,1.56,0,2,0,1,0,10,3,0,22,3,18,15,5.63,1.69,3.33,13.9,4.2,-0.279,-0.21,0.941,RP,1.0
2010,72447,권혁,삼성,,False,73.333,60,2.08636,1.0,7,1,4,10,0,73,19,2,54,6,18,17,8.96,2.33,3.84,25.9,6.7,0.0,,1.222,RP,1.0
2011,72447,권혁,삼성,,False,48.333,58,2.7931,1.24,1,3,0,19,0,27,22,2,38,2,19,15,5.03,4.1,1.23,13.3,10.8,0.0,,0.833,SU,1.0
2012,72447,권혁,삼성,,False,49.333,64,3.10135,1.38,2,3,1,18,0,38,20,1,48,2,18,17,6.93,3.65,1.9,18.0,9.5,0.0,,0.771,SU,1.0
2013,72447,권혁,삼성,,False,36.333,52,3.9633,1.4,0,1,0,3,0,41,16,1,35,5,17,16,10.16,3.96,2.56,25.9,10.1,0.0,,0.699,RP,1.0
2014,72447,권혁,삼성,,False,34.667,38,2.85577,1.1,3,2,0,1,0,38,11,0,27,4,13,11,9.87,2.86,3.45,27.7,8.0,-0.689,0.55,0.912,RP,1.0
2015,72447,권혁,한화,,False,112.0,78,4.98214,1.58,9,13,17,6,0,88,53,5,124,15,68,62,7.07,4.26,1.66,17.4,10.5,-0.175,0.69,1.436,RP,1.0
