player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,ops_last_year,wrc_plus_last_year,contract_years,total_contract_amount,annual_avg_salary,team
김현수,2022,34,OF,140.66666666666666,526.3333333333334,0.3065544283298861,0.381,0.465,0.8460000000000001,0.15833333333333333,0.309,0.37333333333333335,141.56666666666666,16.666666666666668,99.0,81.0,161.66666666666666,31.666666666666668,1.0,64.66666666666667,3.6666666666666665,49.0,2.0,,,2.077,5.036666666666666,15.11,3.73,0.811,128.5,6,115.0,19.17,LG
강민호,2022,37,C,118.0,369.0,0.27068946133113875,0.3416666666666666,0.4566666666666667,0.7983333333333333,0.18600000000000003,0.2816666666666667,0.35400000000000004,95.56666666666666,16.666666666666668,57.666666666666664,45.666666666666664,100.33333333333333,18.666666666666668,0.0,36.333333333333336,5.666666666666667,61.0,0.0,,,-0.373,1.7966666666666669,5.390000000000001,3.15,0.839,117.3,4,36.0,9.0,삼성
황재균,2022,35,3B,125.0,480.6666666666667,0.2957524481772486,0.36166666666666664,0.4603333333333334,0.8220000000000001,0.165,0.329,0.36466666666666664,117.60000000000001,17.0,73.33333333333333,86.66666666666667,142.66666666666666,22.333333333333332,3.3333333333333335,48.333333333333336,3.3333333333333335,87.0,10.666666666666666,,,0.8753333333333332,2.976666666666667,8.930000000000001,1.97,0.76,107.3,4,60.0,15.0,KT
박건우,2022,31,OF,127.33333333333333,467.6666666666667,0.31600208028837096,0.38866666666666666,0.45933333333333337,0.8479999999999999,0.14333333333333326,0.34366666666666673,0.381,149.5666666666667,10.0,65.66666666666667,89.33333333333333,147.66666666666666,32.666666666666664,2.3333333333333335,50.666666666666664,10.0,64.66666666666667,11.0,,,-0.0043333333333333375,5.036666666666666,15.11,4.96,0.841,146.9,6,100.0,16.67,NC
김재환,2022,34,OF,137.66666666666666,495.3333333333333,0.27400545644119695,0.37233333333333335,0.4763333333333333,0.8486666666666668,0.20199999999999993,0.3213333333333333,0.37433333333333335,146.29999999999998,24.0,102.0,81.33333333333333,135.66666666666666,23.0,2.6666666666666665,78.33333333333333,3.6666666666666665,131.33333333333334,3.6666666666666665,,,0.9170000000000001,5.1066666666666665,15.32,5.18,0.883,154.5,4,115.0,28.75,두산
장성우,2022,31,C,128.0,383.6666666666667,0.25715463771201474,0.333,0.3753333333333333,0.7083333333333334,0.11833333333333329,0.2876666666666667,0.31833333333333336,83.83333333333333,11.333333333333334,61.0,36.666666666666664,98.66666666666667,11.666666666666666,0.0,44.333333333333336,2.0,73.0,0.3333333333333333,,,-1.0416666666666667,0.7999999999999999,2.4,1.27,0.711,88.4,4,42.0,10.5,KT
최재훈,2022,31,C,125.66666666666667,362.3333333333333,0.288365286114604,0.3953333333333333,0.37733333333333335,0.7726666666666667,0.08866666666666663,0.33033333333333337,0.3586666666666667,119.0,4.333333333333333,37.0,48.333333333333336,104.33333333333333,19.333333333333332,0.0,52.333333333333336,14.0,57.666666666666664,2.0,,,-0.868,2.7300000000000004,8.190000000000001,3.87,0.792,124.9,5,54.0,10.8,한화
이명기,2023,35,OF,96.0,334.0,0.29963669092385875,0.392,0.378,0.77,0.0785,0.346,0.3625,117.85000000000001,2.0,29.5,56.0,101.0,15.0,1.5,43.5,2.5,52.5,9.0,,,-0.18749999999999997,2.485,4.97,,,,1,1.0,1.0,한화
오태곤,2023,35,OF,115.33333333333333,244.0,0.25784284779511696,0.31233333333333335,0.387,0.6993333333333333,0.12899999999999998,0.309,0.31433333333333335,84.26666666666667,6.0,31.0,43.666666666666664,62.666666666666664,12.0,0.6666666666666666,14.0,6.0,55.666666666666664,11.666666666666666,,,-0.836,0.9366666666666666,2.81,1.05,0.631,73.3,4,19.0,4.75,SSG
김상수,2023,34,SS,126.0,416.5,0.2699433404878949,0.35850000000000004,0.351,0.7095,0.0815,0.30000000000000004,0.33399999999999996,89.1,4.0,44.5,58.5,112.0,17.5,2.0,53.5,5.5,53.0,7.0,,,-1.3745,2.355,4.71,,,,4,29.0,7.25,KT
박세혁,2023,30,C,126.0,355.5,0.25865384615384607,0.33399999999999996,0.33999999999999997,0.6739999999999999,0.08149999999999996,0.2955,0.304,92.85,3.5,46.0,40.0,92.0,15.5,1.5,34.0,9.0,58.0,3.5,,,-1.445,0.66,1.32,0.9,0.636,81.9,4,46.0,11.5,NC
박민우,2023,31,2B,93.33333333333333,345.6666666666667,0.2908438417003727,0.371,0.391,0.762,0.09999999999999998,0.3176666666666666,0.34566666666666673,106.13333333333333,4.333333333333333,39.666666666666664,57.666666666666664,104.0,18.0,3.0,33.333333333333336,10.666666666666666,42.0,15.333333333333334,,,-0.5686666666666667,2.4966666666666666,7.49,1.98,0.71,92.5,8,140.0,17.5,NC
노진혁,2023,33,SS,118.0,384.3333333333333,0.2807288340075225,0.361,0.454,0.8150000000000001,0.1733333333333333,0.3446666666666667,0.35766666666666663,113.2,14.333333333333334,71.66666666666667,53.666666666666664,107.66666666666667,22.666666666666668,1.0,45.333333333333336,4.0,100.33333333333333,1.0,,,0.19333333333333336,2.51,7.529999999999999,2.32,0.808,114.4,4,50.0,12.5,롯데
양의지,2023,36,C,133.66666666666666,456.0,0.31197372409367,0.39799999999999996,0.5546666666666666,0.9526666666666666,0.2426666666666666,0.298,0.408,142.9,27.666666666666668,109.66666666666667,76.0,142.66666666666666,26.333333333333332,1.0,58.333333333333336,12.666666666666666,51.666666666666664,3.3333333333333335,,,1.7739999999999998,5.27,15.809999999999999,4.55,0.86,132.3,6,152.0,25.33,두산
채은성,2023,31,1B,115.0,423.3333333333333,0.2884194102914535,0.3546666666666667,0.447,0.8016666666666667,0.15866666666666665,0.318,0.35633333333333334,128.6,14.333333333333334,84.33333333333333,55.333333333333336,122.33333333333333,21.0,1.3333333333333333,32.333333333333336,15.333333333333334,79.0,3.3333333333333335,,,-0.7093333333333334,3.0566666666666666,9.17,2.86,0.791,122.7,6,90.0,15.0,한화
박동원,2023,32,C,122.0,374.0,0.2469843715606427,0.338,0.4406666666666667,0.7786666666666667,0.19366666666666665,0.2813333333333333,0.34766666666666673,115.0,17.333333333333332,63.333333333333336,52.666666666666664,92.33333333333333,21.0,0.0,45.333333333333336,7.333333333333333,92.33333333333333,1.0,,,-0.8656666666666667,2.5866666666666664,7.76,3.02,0.77,113.4,4,65.0,16.25,LG
유강남,2023,30,C,135.33333333333334,414.0,0.25592304071523214,0.32433333333333336,0.38033333333333336,0.7046666666666667,0.12433333333333328,0.296,0.323,105.5,11.666666666666666,60.333333333333336,48.0,106.0,16.666666666666668,0.0,30.333333333333332,12.666666666666666,85.66666666666667,1.0,,,-0.9213333333333332,1.9699999999999998,5.909999999999999,1.8,0.677,98.4,4,80.0,20.0,롯데
양석환,2024,31,1B,126.66666666666667,472.3333333333333,0.26583992639868,0.32633333333333336,0.4586666666666666,0.785,0.19266666666666662,0.308,0.3413333333333333,120.83333333333333,23.0,78.66666666666667,65.66666666666667,126.33333333333333,21.333333333333332,0.3333333333333333,38.333333333333336,7.333333333333333,123.33333333333333,2.3333333333333335,,,-0.2976666666666667,2.7699999999999996,8.309999999999999,3.09,0.787,122.1,6,78.0,13.0,두산
