collect_year,playerId,playerName,teamName,isRetire,isPlayer,isQualified,hitterGameCount,hitterAb,hitterHra,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterHr,hitterRbi,hitterRun,hitterHit,hitterH2,hitterH3,hitterBb,hitterHp,hitterKk,hitterSb,hitterCs,hitterGd,hitterWpa,hitterWar,sort_source
2015,71610,김경언,한화,Y,Y,False,107,377,0.3368700265251989,0.414,0.525,0.939,0.188,0.404,0.408,0.0,16,78,58,127,21,1,50,2,89,1,,,4.579,0.0,hitterWar
2015,71837,김강민,SK,Y,Y,False,96,293,0.2457337883959044,0.315,0.345,0.66,0.0989999999999999,0.329,0.306,0.0,4,31,43,72,17,0,23,7,83,7,,,-0.539,0.0,hitterWar
2015,72447,권혁,한화,Y,Y,False,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,,,-0.158,0.0,hitterWar
2015,95158,권용관,한화,Y,Y,False,116,296,0.2195945945945946,0.284,0.304,0.588,0.0839999999999999,0.291,0.263,0.0,5,22,32,65,8,1,18,9,86,3,,,-2.697,0.0,hitterWar
2015,79290,국해성,두산,N,Y,False,11,20,0.2,0.28,0.4,0.68,0.2,0.188,0.276,0.0,1,5,6,4,1,0,2,1,5,0,,,-0.294,0.0,hitterWar
2015,62404,구자욱,삼성,N,Y,False,116,410,0.348780487804878,0.417,0.534,0.951,0.185,0.407,0.42,0.0,11,57,97,143,33,5,45,6,79,17,,,1.066,0.0,hitterWar
2015,72523,고효준,SK,N,Y,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,78248,고창성,NC,Y,Y,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,77532,손아섭,롯데,N,Y,True,116,445,0.3168539325842696,0.406,0.472,0.878,0.1549999999999999,0.378,0.4,0.0,13,54,86,141,28,1,68,1,96,11,,,1.931,0.0,hitterOps
2015,65515,강로한,롯데,Y,Y,False,22,8,0.125,0.125,0.125,0.25,0.0,0.5,0.113,0.0,0,0,2,1,0,0,0,0,6,0,,,0.113,0.0,hitterWar
2015,64906,강민국,NC,Y,Y,False,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,,,-0.025,0.0,hitterWar
2015,74540,강민호,롯데,N,Y,False,123,380,0.3105263157894737,0.421,0.639,1.06,0.328,0.353,0.449,0.0,35,86,63,118,18,1,60,14,112,0,,,4.08,0.0,hitterWar
2015,61108,강병의,LG,Y,Y,False,8,3,0.3333333333333333,0.333,0.333,0.666,0.0,0.5,0.607,0.0,0,0,0,1,0,0,0,0,1,1,,,-0.059,0.0,hitterWar
2015,70224,강봉규,삼성,N,Y,False,5,6,0.0,0.25,0.0,0.25,0.0,0.0,0.184,0.0,0,0,0,0,0,0,1,1,3,0,,,-0.079,0.0,hitterWar
2015,76509,김문호,롯데,Y,Y,False,93,288,0.3055555555555556,0.367,0.392,0.759,0.086,0.349,0.338,0.0,4,31,35,88,13,0,25,4,45,8,,,-1.394,0.0,hitterWar
2015,64907,강장산,NC,Y,Y,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,64610,강한울,KIA,N,Y,False,90,264,0.2045454545454545,0.25,0.258,0.508,0.053,0.254,0.238,0.0,0,12,30,54,8,3,13,3,51,9,,,-1.705,0.0,hitterWar
2015,74745,고동진,한화,Y,Y,False,27,59,0.1694915254237288,0.246,0.237,0.483,0.0679999999999999,0.217,0.211,0.0,0,7,5,10,4,0,2,4,13,0,,,-0.62,0.0,hitterWar
2015,72214,고영민,두산,Y,Y,False,41,67,0.3283582089552239,0.403,0.478,0.881,0.1499999999999999,0.442,0.388,0.0,3,11,13,22,1,0,6,3,22,4,,,-0.565,0.0,hitterWar
2015,64001,고영표,KT,N,Y,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,63636,고장혁,KIA,Y,Y,False,82,52,0.1538461538461538,0.214,0.25,0.464,0.096,0.194,0.223,0.0,1,4,17,8,2,0,4,0,15,7,,,-0.381,0.0,hitterWar
2015,61353,고종욱,넥센,N,Y,False,119,407,0.3095823095823096,0.358,0.464,0.822,0.154,0.366,0.367,0.0,10,51,81,126,25,4,25,6,81,22,,,-0.25,0.0,hitterWar
2015,79130,강지광,넥센,N,Y,False,13,18,0.2777777777777778,0.381,0.278,0.659,0.0,0.556,0.319,0.0,0,2,3,5,0,0,2,1,9,0,,,0.237,0.0,hitterWar
2015,77564,김민성,넥센,N,Y,False,118,445,0.3033707865168539,0.357,0.465,0.822,0.162,0.322,0.362,0.0,16,71,60,135,24,0,31,8,62,1,,,-1.062,0.0,hitterWar
2015,62917,강구성,NC,N,Y,False,4,5,0.2,0.2,0.4,0.6,0.2,0.2,0.432,0.0,0,0,0,1,1,0,0,0,0,0,,,0.16,0.0,hitterWar
2015,62864,김민식,SK,N,Y,False,23,24,0.1666666666666666,0.231,0.167,0.398,0.0,0.182,0.194,0.0,0,0,4,4,0,0,2,0,2,0,,,-0.701,0.0,hitterWar
2015,71752,김태균,한화,Y,Y,True,133,408,0.3161764705882353,0.457,0.539,0.996,0.223,0.346,0.431,0.0,21,104,61,129,28,0,98,12,80,3,,,4.992,0.0,hitterOps
2015,74465,박석민,삼성,Y,Y,True,135,448,0.3214285714285714,0.441,0.551,0.992,0.23,0.354,0.437,0.0,26,116,90,144,25,0,83,19,97,3,,,4.348,0.0,hitterOps
2015,64440,나바로,삼성,N,Y,True,140,534,0.2865168539325842,0.393,0.596,0.989,0.309,0.248,0.415,0.0,48,137,126,153,19,1,93,6,72,22,,,2.727,0.0,hitterOps
2015,65005,마르테,KT,N,Y,True,115,425,0.348235294117647,0.414,0.569,0.983,0.2209999999999999,0.363,0.424,0.0,20,89,85,148,32,1,51,2,60,0,,,2.213,0.0,hitterOps
2015,76290,김현수,두산,N,Y,True,141,512,0.326171875,0.438,0.541,0.979,0.215,0.323,0.423,0.0,28,121,103,167,26,0,101,8,63,11,,,4.708,0.0,hitterOps
2015,72443,최형우,삼성,N,Y,True,144,547,0.3180987202925046,0.402,0.563,0.965,0.2449999999999999,0.335,0.413,0.0,33,123,94,174,33,1,73,9,101,2,,,2.5709999999999997,0.0,hitterOps
2015,74339,유한준,넥센,Y,Y,True,139,520,0.3615384615384615,0.43,0.579,1.009,0.2169999999999999,0.38,0.435,0.0,23,116,103,188,42,1,67,2,71,3,,,2.906,0.0,hitterOps
2015,71552,최준석,롯데,Y,Y,True,144,507,0.3057199211045365,0.428,0.529,0.957,0.223,0.362,0.42,0.0,31,109,78,155,18,1,108,1,134,0,,,3.486,0.0,hitterOps
2015,65523,아두치,롯데,N,Y,True,132,526,0.3136882129277566,0.384,0.557,0.941,0.243,0.357,0.406,0.0,28,106,105,165,34,5,55,8,118,24,,,3.985,0.0,hitterOps
2015,76232,양의지,두산,N,Y,True,132,442,0.3257918552036199,0.405,0.523,0.928,0.197,0.341,0.403,0.0,20,93,70,144,27,0,39,24,64,5,,,2.879,0.0,hitterOps
2015,62947,나성범,NC,N,Y,True,144,564,0.3262411347517731,0.373,0.553,0.926,0.227,0.374,0.396,0.0,28,135,112,184,34,5,32,15,127,23,,,1.832,0.0,hitterOps
2015,73113,박경수,KT,Y,Y,True,137,440,0.2840909090909091,0.399,0.507,0.906,0.223,0.336,0.396,0.0,22,73,75,125,30,1,74,13,115,6,,,0.183,0.0,hitterOps
2015,70756,이범호,KIA,Y,Y,True,138,437,0.2700228832951945,0.372,0.519,0.891,0.249,0.28,0.388,0.0,28,79,60,118,25,0,57,16,91,3,,,2.133,0.0,hitterOps
2015,65048,김민수,KT,N,Y,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,95436,이승엽,삼성,Y,Y,True,122,470,0.3319148936170212,0.387,0.562,0.949,0.23,0.343,0.407,0.0,26,90,87,156,28,1,40,6,71,2,,,1.365,0.0,hitterOps
2015,75125,박병호,넥센,Y,Y,True,140,528,0.3428030303030303,0.436,0.714,1.15,0.3709999999999999,0.403,0.475,0.0,53,146,129,181,35,1,78,12,161,10,,,6.826,0.0,hitterOps
2015,94629,이호준,NC,N,Y,True,131,449,0.2939866369710467,0.381,0.51,0.891,0.216,0.332,0.381,0.0,24,110,48,132,25,0,61,3,102,0,,,2.655,0.0,hitterOps
