collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2017,74358,조평호,NC,,False,29,44,0.2272727272727272,0.333,0.364,0.697,0.1369999999999999,0.3,0.31,81.7,1,4,4,10,3,0,6,1,13,0,-0.475,-0.07,1.0
2020,69705,조한민,한화,,False,25,50,0.22,0.25,0.3,0.55,0.0799999999999999,0.393,0.245,39.3,0,2,7,11,4,0,0,2,22,0,-0.311,-0.35,1.0
2021,69705,조한민,한화,,False,52,127,0.1968503937007874,0.278,0.394,0.672,0.197,0.299,0.289,72.0,5,18,15,25,6,2,13,2,57,3,-1.42,-0.11,1.0
2016,65827,조한욱,SK,,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2013,75268,조현근,삼성,,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2014,75268,조현근,삼성,,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2021,64047,조현우,KT,,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2023,51701,조현진,NC,내야수,False,10,5,0.2,0.2,0.2,0.4,0.0,0.25,0.18,-4.2,0,0,0,1,0,0,0,0,1,0,-0.209,-0.02,1.0
2022,51865,조형우,SSG,포수,False,9,12,0.1666666666666666,0.231,0.25,0.481,0.0829999999999999,0.222,0.22,25.0,0,1,2,2,1,0,1,0,3,0,-0.106,-0.07,1.0
2023,51865,조형우,SSG,포수,False,62,119,0.1848739495798319,0.24,0.286,0.526,0.1009999999999999,0.215,0.236,36.8,2,12,9,22,4,1,8,1,25,0,-1.004,-0.31,1.0
2024,51865,조형우,SSG,포수,False,19,33,0.2424242424242424,0.342,0.242,0.584,0.0,0.296,0.287,64.1,0,4,4,8,0,0,1,4,6,0,0.03,-0.01,1.0
2025,51865,조형우,SSG,포수,False,102,269,0.2379182156133829,0.294,0.312,0.606,0.074,0.296,0.286,69.5,4,29,23,64,8,0,19,3,64,0,-1.831,0.57,1.0
2026,51865,조형우,SSG,포수,False,82,257,0.2490272373540855,0.306,0.393,0.699,0.144,0.279,0.304,77.7,7,32,37,64,16,0,20,3,50,0,-0.911,0.53,0.757
2013,63593,조홍석,롯데,,False,30,64,0.25,0.368,0.375,0.743,0.125,0.4,0.351,0.0,0,4,5,16,6,1,8,4,24,2,0.0,,1.0
2014,63593,조홍석,롯데,,False,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-0.12,,1.0
2015,63593,조홍석,롯데,,False,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.006,,1.0
2018,63593,조홍석,롯데,,False,39,62,0.2258064516129032,0.314,0.242,0.556,0.0159999999999999,0.286,0.277,45.2,0,1,14,14,1,0,6,2,13,0,-0.105,-0.03,1.0
2019,63593,조홍석,롯데,,False,42,60,0.1166666666666666,0.169,0.183,0.352,0.0659999999999999,0.149,0.162,-26.7,0,5,8,7,2,1,4,0,14,1,-0.705,-0.4,1.0
2017,65060,주권,KT,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2019,65060,주권,KT,투수,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2020,65060,주권,KT,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2022,65060,주권,KT,투수,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2024,65060,주권,KT,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2025,65060,주권,KT,투수,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2026,65060,주권,KT,투수,False,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.757
2023,69332,주성원,키움,외야수,False,25,69,0.217391304347826,0.225,0.275,0.5,0.058,0.288,0.216,19.8,0,2,7,15,2,1,1,0,18,0,-0.663,-0.31,1.0
